Time,Data,Simulation
161.086,5.4,5.872255441697735
161.088,5.5,5.918152189589404
161.09,5.5,5.962024557446888
161.092,5.5,6.00386399998949
161.094,5.6,6.043662370740404
161.096,5.6,6.081411923603279
161.098,5.699999999999999,6.117105314355688
161.1,5.800000000000001,6.150735602069478
161.102,5.800000000000001,6.182296250451922
161.104,5.800000000000001,6.211781129103856
161.106,5.800000000000001,6.239184514703108
161.108,5.800000000000001,6.264501092108127
161.11,5.800000000000001,6.287725955378694
161.112,5.800000000000001,6.308854608720583
161.114,5.9,6.327882967349814
161.116,5.9,6.344807358274344
161.118,5.9,6.3596245209983975
161.12,5.9,6.3723316081460135
161.122,5.800000000000001,6.382926186002406
161.124,5.800000000000001,6.3914062349768725
161.126,5.800000000000001,6.397770149984608
161.128,5.800000000000001,6.402016740746915
161.13,5.699999999999999,6.404145232011938
161.132,5.800000000000001,6.404155263694148
161.134,5.699999999999999,6.402046890932919
161.136,5.699999999999999,6.397820584070772
161.138,5.6,6.39147722855031
161.14,5.5,6.383018124731123
161.142,5.5,6.372444987625534
161.144,5.4,6.359759946553253
161.146,5.4,6.34496554471683
161.148,5.3,6.32806473869548
161.15,5.3,6.309060897857913
161.152,5.2,6.287957803697158
161.154,5.1,6.264759649083228
161.156,5.0,6.239471037435148
161.158,4.9,6.212096981816258
161.16,4.8,6.1826429039469275
161.162,4.7,6.1511146331371975
161.164,4.7,6.117518405144012
161.166,4.6,6.081860860945639
161.168,4.5,6.044149045436695
161.17,4.4,6.004390406049188
161.172,4.3,5.962592791290677
161.174,4.1,5.918764449203826
161.176,4.0,5.872914025753525
161.178,3.9000000000000004,5.825050563131243
161.18,3.8,5.775183497981615
161.182,3.7,5.723322659558348
161.184,3.7,5.669478267797543
161.186,3.5999999999999996,5.613660931314278
161.188,3.5,5.555881645330328
161.19,3.3,5.496151789519668
161.192,3.2,5.434483125778365
161.194,3.0,5.370887795927574
161.196,3.0,5.305378319334777
161.198,2.9000000000000004,5.237967590460706
161.2,2.7,5.168668876341436
161.202,2.5999999999999996,5.097495813989323
161.204,2.4000000000000004,5.024462407721058
161.206,2.3,4.949583026423048
161.208,2.2,4.872872400736412
161.21,2.0999999999999996,4.794345620170622
161.212,2.0,4.714018130157922
161.214,1.7999999999999998,4.631905729021314
161.216,1.7000000000000002,4.5480245648902
161.218,1.5999999999999996,4.462391132536148
161.22,1.5,4.375022270140148
161.222,1.4,4.285935156003509
161.224,1.2999999999999998,4.195147305181094
161.226,1.1,4.102676566047928
161.228,1.0,4.008541116811988
161.23,1.0,3.9127594619506096
161.232,0.8999999999999999,3.8153504285822657
161.234,0.7999999999999998,3.7163331627871843
161.236,0.7000000000000002,3.615727125852988
161.238,0.6000000000000001,3.513552090457829
161.24,0.6000000000000001,3.409828136805097
161.242,0.5,3.304575648684725
161.244,0.3999999999999999,3.1978153094741875
161.246,0.3999999999999999,3.08956809809395
161.248,0.3999999999999999,2.9798552848911664
161.25,0.3999999999999999,2.8686984274654517
161.252,0.3999999999999999,2.756119366451988
161.254,0.2999999999999998,2.642140221234747
161.256,0.2999999999999998,2.5267833856042015
161.258,0.2999999999999998,2.41007152337542
161.26,0.2999999999999998,2.2920275639381895
161.262,0.2999999999999998,2.172674697754231
161.264,0.2999999999999998,2.0520363718178403
161.266,0.3999999999999999,1.9301362850506971
161.268,0.3999999999999999,1.8069983836463754
161.27,0.2999999999999998,1.6826468563814851
161.272,0.2999999999999998,1.5571061298631659
161.274,0.2999999999999998,1.430400863729049
161.276,0.2999999999999998,1.3025559458171005
161.278,0.2999999999999998,1.1735964872741267
161.28,0.2999999999999998,1.0435478176196236
161.282,0.2999999999999998,0.9124354797827846
161.284,0.3999999999999999,0.7802852250806388
161.286,0.2999999999999998,0.6471230081544779
161.288,0.3999999999999999,0.5129749818827869
161.29,0.2999999999999998,0.3778674922378822
161.292,0.2999999999999998,0.24182707310386325
161.294,0.2999999999999998,0.1048804410744772
161.296,0.2999999999999998,0.0
161.298,0.3999999999999999,0.0
161.3,0.3999999999999999,0.0
161.302,0.3999999999999999,0.0
161.304,0.3999999999999999,0.0
161.306,0.3999999999999999,0.0
161.308,0.3999999999999999,0.0
161.31,0.3999999999999999,0.0
161.312,0.3999999999999999,0.0
161.314,0.3999999999999999,0.0
161.316,0.5,0.0
161.318,0.5,0.0
161.32,0.5,0.0
161.322,0.5,0.0
161.324,0.5,0.0
161.326,0.5,0.0
161.328,0.5,0.0
161.33,0.6000000000000001,0.0
161.332,0.6000000000000001,0.0
161.334,0.6000000000000001,0.0
161.336,0.6000000000000001,0.0
161.338,0.6000000000000001,0.0
161.34,0.6000000000000001,0.0
161.342,0.6000000000000001,0.0
161.344,0.6000000000000001,0.0
161.346,0.7000000000000002,0.0
161.348,0.7000000000000002,0.0
161.35,0.7000000000000002,0.0
161.352,0.7999999999999998,0.0
161.354,0.7999999999999998,0.0
161.356,0.7999999999999998,0.0
161.358,0.7999999999999998,0.0
161.36,0.7999999999999998,0.0
161.362,0.7999999999999998,0.0
161.364,0.7999999999999998,0.0
161.366,0.8999999999999999,0.0
161.368,0.8999999999999999,0.0
161.37,0.8999999999999999,0.0
161.372,0.8999999999999999,0.0
